,team,off,def,clase_K-means
0,Man. City,2.8,0.3,2
1,Bayern Munich,3.0,0.7,2
2,Barcelona,2.4,0.4,2
3,Real Madrid,2.6,0.6,2
4,Liverpool,2.6,0.7,2
5,Arsenal,2.5,0.6,2
6,Newcastle,2.4,0.5,2
7,Napoli,2.3,0.5,2
8,Dortmund,2.8,0.8,2
9,Brighton,2.5,0.7,2
10,RB Leipzig,2.4,0.7,2
11,Benfica,2.4,0.7,2
12,Aston Villa,2.0,0.5,2
13,Atlético Madrid,2.3,0.7,2
14,PSG,2.6,0.9,2
15,Man. United,2.4,0.7,2
16,Inter Milan,2.3,0.8,2
17,Ajax,2.7,1.0,2
18,Lille,2.1,0.6,2
19,Brentford,2.1,0.7,2
20,Real Sociedad,1.9,0.5,2
21,Sporting,2.1,0.7,2
22,Porto,2.2,0.7,2
23,Chelsea,2.0,0.7,2
24,Feyenoord,2.3,0.9,2
25,Lyon,2.3,0.9,2
26,Rennes,2.0,0.7,2
27,Leverkusen,2.0,0.7,2
28,Athletic Bilbao,1.8,0.6,2
29,Celtic,2.5,1.1,2
30,Zenit,2.0,0.7,2
31,Fiorentina,2.1,0.8,2
32,Twente,2.2,0.9,2
33,Marseille,2.1,0.8,2
34,PSV,2.4,1.0,2
35,Crystal Palace,1.8,0.6,2
36,Villarreal,2.1,0.9,2
37,Lens,2.0,0.7,2
38,AC Milan,2.0,0.8,2
39,Roma,1.8,0.7,2
40,RB Salzburg,2.1,0.8,2
41,1. FC Köln,2.0,0.8,2
42,Tottenham,2.2,1.0,2
43,Rangers,2.3,1.0,2
44,Eintracht,2.1,0.9,2
45,West Ham,1.9,0.8,2
46,Atalanta,2.1,0.9,2
47,Wolfsburg,2.1,0.9,2
48,Juventus,1.9,0.8,2
49,Torino,1.7,0.7,2
50,Sevilla,1.8,0.8,2
51,Mainz,2.1,1.0,2
52,Palmeiras,1.8,0.8,2
53,Valencia,1.7,0.8,2
54,Lazio,1.8,0.8,2
55,Fulham,1.9,0.9,2
56,Beşiktaş,2.1,1.1,2
57,Celta Vigo,1.7,0.8,2
58,Nice,1.7,0.8,2
59,VfB Stuttgart,2.0,1.0,2
60,Gladbach,2.1,1.1,2
61,Galatasaray,2.0,1.0,2
62,AZ Alkmaar,1.9,1.0,2
63,Girona,1.9,1.0,2
64,Real Betis,1.7,0.8,2
65,SC Freiburg,1.9,1.0,2
66,Flamengo,1.9,1.0,2
67,Strasbourg,1.8,0.9,2
68,Union Berlin,1.7,0.8,2
69,Osasuna,1.6,0.8,0
70,Young Boys,2.1,1.2,2
71,Atlético Mineiro,1.5,0.8,0
72,Getafe,1.5,0.7,0
73,Monaco,2.0,1.1,2
74,Leicester,1.9,1.0,2
75,Gent,1.9,1.1,2
76,Reims,1.7,0.9,0
77,Bologna,1.8,1.0,2
78,Werder Bremen,1.9,1.1,2
79,Fenerbahçe,2.0,1.2,2
80,Monterrey,1.6,0.8,0
81,Everton,1.8,1.0,2
82,Hoffenheim,2.0,1.2,2
83,Sassuolo,1.9,1.1,2
84,Slavia Prague,1.8,1.1,0
85,Braga,1.8,1.0,2
86,Bodø/Glimt,2.2,1.3,2
87,Burnley,1.5,0.8,0
